learning_rate,0.001,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.30429,20,0.11
40,2.31006,40,0.08
60,2.31112,60,0.14
80,2.28183,80,0.12
100,2.32965,100,0.1
120,2.29978,120,0.12
140,2.3544,140,0.09
160,2.13359,160,0.24
180,2.04095,180,0.25
200,2.02978,200,0.32
220,1.98609,220,0.22
240,1.97857,240,0.31
260,1.99561,260,0.36
280,1.90822,280,0.29
300,2.04945,300,0.26
320,1.8356,320,0.3
340,1.86337,340,0.37
360,1.86493,360,0.37
380,1.9232,380,0.39
400,1.88378,400,0.38
420,1.89187,420,0.39
440,1.62751,440,0.49
460,1.72732,460,0.41
480,1.94098,480,0.4
500,1.8166,500,0.38
520,1.74589,520,0.37
540,1.74935,540,0.46
560,1.75501,560,0.42
580,1.83442,580,0.43
600,1.66216,600,0.47
620,1.63144,620,0.5
640,1.59633,640,0.46
660,1.78245,660,0.46
680,1.5896,680,0.5
700,1.82674,700,0.43
720,1.69177,720,0.55
740,1.8552,740,0.35
760,1.76977,760,0.45
780,1.674,780,0.47
800,1.63836,800,0.51
820,1.64347,820,0.54
840,1.70831,840,0.47
860,1.55141,860,0.49
880,1.45526,880,0.52
900,1.57373,900,0.52
920,1.59709,920,0.55
940,1.56434,940,0.47
960,1.56173,960,0.49
980,1.57254,980,0.57
1000,1.7843,1000,0.48
1020,1.45752,1020,0.53
1040,1.69358,1040,0.49
1060,1.67549,1060,0.5
1080,1.65454,1080,0.57
1100,1.46767,1100,0.52
1120,1.67695,1120,0.54
1140,1.51369,1140,0.59
1160,1.57572,1160,0.51
1180,1.66324,1180,0.51
1200,1.61726,1200,0.56
1220,1.62297,1220,0.46
1240,1.53345,1240,0.59
1260,1.43983,1260,0.6
1280,1.55496,1280,0.53
1300,1.43195,1300,0.63
1320,1.54842,1320,0.57
1340,1.55088,1340,0.56
1360,1.37964,1360,0.59
1380,1.67255,1380,0.41
1400,1.3365,1400,0.58
1420,1.23475,1420,0.65
1440,1.51603,1440,0.52
1460,1.3816,1460,0.59
1480,1.3154,1480,0.62
1500,1.24543,1500,0.73
1520,1.57384,1520,0.58
1540,1.48006,1540,0.57
1560,1.36508,1560,0.63
1580,1.53432,1580,0.54
1600,1.43536,1600,0.63
1620,1.40701,1620,0.59
1640,1.41525,1640,0.56
1660,1.56862,1660,0.55
1680,1.55733,1680,0.6
1700,1.41505,1700,0.6
1720,1.50631,1720,0.62
1740,1.47718,1740,0.59
1760,1.78314,1760,0.5
1780,1.2445,1780,0.62
1800,1.45065,1800,0.57
1820,1.42321,1820,0.62
1840,1.22891,1840,0.6
1860,1.27449,1860,0.64
1880,1.31061,1880,0.61
1900,1.53242,1900,0.67
1920,1.2912,1920,0.7
1940,1.24796,1940,0.63
1960,1.42056,1960,0.63
1980,1.41101,1980,0.62
2000,1.46932,2000,0.57
2020,1.65365,2020,0.6
2040,1.40671,2040,0.57
2060,1.51676,2060,0.64
2080,1.4893,2080,0.62
2100,1.4555,2100,0.6
2120,1.2952,2120,0.68
2140,1.40302,2140,0.6
2160,1.54742,2160,0.59
2180,1.27104,2180,0.69
2200,1.26167,2200,0.71
2220,1.19573,2220,0.72
2240,1.38526,2240,0.62
2260,1.27383,2260,0.67
2280,1.28738,2280,0.62
2300,1.36939,2300,0.66
2320,1.38774,2320,0.63
2340,1.31448,2340,0.58
2360,1.33069,2360,0.69
2380,1.29095,2380,0.61
2400,1.34461,2400,0.65
2420,1.45068,2420,0.64
2440,1.4677,2440,0.54
2460,1.23305,2460,0.74
2480,1.24763,2480,0.73
2500,1.1308,2500,0.69
2520,1.25969,2520,0.65
2540,1.35113,2540,0.58
2560,0.950995,2560,0.75
2580,1.23569,2580,0.69
2600,1.18463,2600,0.71
2620,1.31351,2620,0.59
2640,1.35673,2640,0.65
2660,1.34243,2660,0.64
2680,1.35806,2680,0.64
2700,1.36093,2700,0.66
2720,1.40394,2720,0.62
2740,1.03868,2740,0.76
2760,1.33123,2760,0.66
2780,1.14952,2780,0.68
2800,1.14835,2800,0.68
2820,1.33801,2820,0.68
2840,1.14408,2840,0.64
2860,1.27585,2860,0.65
2880,1.28771,2880,0.6
2900,1.15313,2900,0.68
2920,0.984996,2920,0.74
2940,1.40877,2940,0.65
2960,1.10082,2960,0.72
2980,1.23524,2980,0.75
3000,1.31085,3000,0.67
Accuracy on Test Example:,0.6218
