learning_rate,0.001,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.30178,20,0.08
40,2.30207,40,0.09
60,2.29285,60,0.19
80,2.27626,80,0.3
100,2.02204,100,0.25
120,2.14621,120,0.23
140,1.94276,140,0.38
160,1.79449,160,0.42
180,1.72416,180,0.45
200,1.88451,200,0.29
220,1.66842,220,0.47
240,1.74196,240,0.38
260,1.61966,260,0.57
280,1.65027,280,0.47
300,1.63717,300,0.52
320,1.40031,320,0.61
340,1.50864,340,0.51
360,1.62769,360,0.54
380,1.55136,380,0.54
400,1.57799,400,0.51
420,1.63933,420,0.51
440,1.5923,440,0.6
460,1.4522,460,0.6
480,1.57261,480,0.55
500,1.55885,500,0.57
520,1.39357,520,0.63
540,1.29007,540,0.68
560,1.47958,560,0.6
580,1.3575,580,0.63
600,1.40343,600,0.6
620,1.50877,620,0.62
640,1.38897,640,0.63
660,1.30801,660,0.68
680,1.17026,680,0.73
700,1.39305,700,0.68
720,1.40884,720,0.58
740,1.12957,740,0.69
760,1.50699,760,0.66
780,1.50549,780,0.67
800,1.25722,800,0.72
820,1.25471,820,0.72
840,1.14808,840,0.76
860,1.21007,860,0.73
880,1.40936,880,0.65
900,1.14584,900,0.71
920,1.24394,920,0.73
940,1.23515,940,0.7
960,1.21843,960,0.71
980,1.05819,980,0.76
1000,1.38968,1000,0.67
1020,1.2384,1020,0.72
1040,1.09738,1040,0.79
1060,1.03224,1060,0.82
1080,1.21671,1080,0.75
1100,1.08869,1100,0.75
1120,1.04327,1120,0.75
1140,1.1539,1140,0.76
1160,1.27215,1160,0.66
1180,1.06495,1180,0.72
1200,1.17519,1200,0.76
1220,1.26338,1220,0.69
1240,1.34983,1240,0.59
1260,1.30315,1260,0.66
1280,1.29894,1280,0.72
1300,1.12348,1300,0.79
1320,1.15682,1320,0.76
1340,1.23916,1340,0.74
1360,0.932718,1360,0.84
1380,1.34425,1380,0.64
1400,1.22545,1400,0.73
1420,1.18335,1420,0.79
1440,1.0254,1440,0.81
1460,1.11007,1460,0.73
1480,1.13257,1480,0.81
1500,1.08216,1500,0.75
1520,1.03803,1520,0.75
1540,1.09397,1540,0.73
1560,1.14904,1560,0.75
1580,1.06925,1580,0.73
1600,1.20254,1600,0.76
1620,1.38972,1620,0.72
1640,0.993382,1640,0.81
1660,1.23438,1660,0.68
1680,1.27902,1680,0.71
1700,1.08596,1700,0.73
1720,1.1959,1720,0.77
1740,1.06927,1740,0.8
1760,0.908028,1760,0.86
1780,1.07264,1780,0.8
1800,1.19439,1800,0.77
1820,1.08962,1820,0.81
1840,1.18353,1840,0.75
1860,1.03545,1860,0.83
1880,1.08805,1880,0.75
1900,1.09144,1900,0.75
1920,1.15086,1920,0.71
1940,0.983188,1940,0.78
1960,0.988988,1960,0.82
1980,0.988012,1980,0.82
2000,0.864973,2000,0.84
2020,1.23461,2020,0.77
2040,0.982777,2040,0.81
2060,1.08225,2060,0.81
2080,1.03591,2080,0.79
2100,0.950946,2100,0.83
2120,0.985406,2120,0.83
2140,1.00901,2140,0.79
2160,1.01382,2160,0.79
2180,0.949073,2180,0.82
2200,0.859957,2200,0.84
2220,1.22667,2220,0.73
2240,0.965589,2240,0.76
2260,0.855167,2260,0.86
2280,0.990482,2280,0.76
2300,1.07581,2300,0.79
2320,0.828085,2320,0.88
2340,0.955137,2340,0.84
2360,0.980937,2360,0.83
2380,0.950638,2380,0.8
2400,1.08806,2400,0.82
2420,0.902098,2420,0.88
2440,0.948252,2440,0.85
2460,0.875227,2460,0.86
2480,1.06663,2480,0.84
2500,0.860641,2500,0.85
2520,0.987356,2520,0.78
2540,0.966513,2540,0.81
2560,0.849341,2560,0.86
2580,0.991825,2580,0.84
2600,1.08609,2600,0.82
2620,0.792718,2620,0.9
2640,0.965611,2640,0.82
2660,1.24342,2660,0.69
2680,0.934624,2680,0.78
2700,0.980157,2700,0.85
2720,0.879673,2720,0.81
2740,0.88525,2740,0.91
2760,0.98324,2760,0.85
2780,0.861713,2780,0.87
2800,0.719808,2800,0.89
2820,0.950251,2820,0.86
2840,0.927667,2840,0.85
2860,1.1087,2860,0.75
2880,0.769192,2880,0.87
2900,1.26744,2900,0.78
2920,1.04934,2920,0.8
2940,0.794331,2940,0.89
2960,1.05087,2960,0.76
2980,0.861303,2980,0.86
3000,1.00262,3000,0.75
Accuracy on Test Example:,0.6963
