learning_rate,0.001,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.30498,20,0.08
40,2.3028,40,0.11
60,2.30017,60,0.12
80,2.30023,80,0.13
100,2.3001,100,0.09
120,2.12019,120,0.12
140,1.96435,140,0.24
160,2.6283,160,0.18
180,1.85395,180,0.34
200,1.90851,200,0.31
220,1.86723,220,0.41
240,1.74507,240,0.39
260,1.85028,260,0.33
280,1.82962,280,0.42
300,1.62605,300,0.44
320,1.74047,320,0.44
340,2.02777,340,0.41
360,1.58872,360,0.51
380,1.61558,380,0.48
400,1.67558,400,0.49
420,1.54546,420,0.49
440,1.72456,440,0.46
460,1.54972,460,0.47
480,1.54248,480,0.56
500,1.50702,500,0.55
520,1.55408,520,0.51
540,1.56654,540,0.49
560,1.6014,560,0.45
580,1.44285,580,0.55
600,1.4263,600,0.47
620,1.53452,620,0.52
640,1.30756,640,0.71
660,1.47991,660,0.56
680,1.33399,680,0.59
700,1.63632,700,0.56
720,1.41533,720,0.59
740,1.82772,740,0.45
760,1.50345,760,0.51
780,1.51784,780,0.55
800,1.38477,800,0.58
820,1.41891,820,0.58
840,1.47125,840,0.51
860,1.36147,860,0.66
880,1.59871,880,0.53
900,1.35458,900,0.62
920,1.6343,920,0.52
940,1.296,940,0.58
960,1.27872,960,0.65
980,1.45248,980,0.56
1000,1.04384,1000,0.74
1020,1.31819,1020,0.63
1040,1.47495,1040,0.55
1060,1.32738,1060,0.65
1080,1.2751,1080,0.59
1100,1.25389,1100,0.6
1120,1.4957,1120,0.61
1140,1.35937,1140,0.59
1160,1.41033,1160,0.57
1180,1.12806,1180,0.72
1200,1.04325,1200,0.71
1220,1.27925,1220,0.63
1240,1.27068,1240,0.61
1260,1.08857,1260,0.73
1280,1.50641,1280,0.61
1300,1.4905,1300,0.6
1320,1.13487,1320,0.72
1340,1.2665,1340,0.64
1360,1.0927,1360,0.71
1380,1.20787,1380,0.65
1400,1.41877,1400,0.69
1420,1.31259,1420,0.64
1440,1.17772,1440,0.76
1460,1.05153,1460,0.73
1480,1.26195,1480,0.69
1500,1.22076,1500,0.63
1520,1.24318,1520,0.7
1540,1.1393,1540,0.7
1560,1.28707,1560,0.68
1580,1.2886,1580,0.66
1600,1.23914,1600,0.68
1620,1.33396,1620,0.62
1640,1.46325,1640,0.56
1660,1.25212,1660,0.65
1680,1.25399,1680,0.68
1700,1.15262,1700,0.66
1720,1.07039,1720,0.72
1740,1.19466,1740,0.76
1760,1.14976,1760,0.71
1780,1.15428,1780,0.72
1800,1.15986,1800,0.69
1820,0.971675,1820,0.79
1840,1.04029,1840,0.77
1860,1.32653,1860,0.7
1880,1.36028,1880,0.62
1900,1.11645,1900,0.67
1920,1.24174,1920,0.65
1940,1.10513,1940,0.72
1960,1.20736,1960,0.76
1980,1.01048,1980,0.75
2000,1.0501,2000,0.78
2020,1.07854,2020,0.74
2040,1.40116,2040,0.64
2060,1.20702,2060,0.74
2080,1.22255,2080,0.7
2100,1.11323,2100,0.69
2120,1.02934,2120,0.77
2140,1.2147,2140,0.7
2160,0.990556,2160,0.74
2180,1.06143,2180,0.76
2200,0.967556,2200,0.83
2220,1.28072,2220,0.8
2240,0.839966,2240,0.87
2260,1.3283,2260,0.72
2280,1.20354,2280,0.72
2300,0.972972,2300,0.82
2320,1.19696,2320,0.74
2340,1.2405,2340,0.7
2360,0.869844,2360,0.86
2380,1.33761,2380,0.66
2400,0.962889,2400,0.81
2420,1.00033,2420,0.74
2440,1.18163,2440,0.73
2460,1.02286,2460,0.78
2480,1.04186,2480,0.73
2500,1.02431,2500,0.74
2520,0.968077,2520,0.84
2540,1.19006,2540,0.68
2560,0.933692,2560,0.74
2580,1.19958,2580,0.69
2600,0.874061,2600,0.83
2620,0.986091,2620,0.73
2640,1.04202,2640,0.82
2660,1.0033,2660,0.77
2680,1.06385,2680,0.8
2700,1.04708,2700,0.75
2720,1.08057,2720,0.73
2740,0.767124,2740,0.87
2760,1.14752,2760,0.7
2780,0.950667,2780,0.83
2800,1.05378,2800,0.82
2820,0.884054,2820,0.81
2840,0.9816,2840,0.72
2860,1.05188,2860,0.78
2880,1.15806,2880,0.74
2900,1.04392,2900,0.75
2920,0.977075,2920,0.71
2940,1.02434,2940,0.74
2960,1.05419,2960,0.85
2980,1.00479,2980,0.75
3000,1.02769,3000,0.78
Accuracy on Test Example:,0.6764
