learning_rate,0.001,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.30376,20,0.14
40,2.30363,40,0.1
60,2.29881,60,0.19
80,2.29866,80,0.15
100,2.28306,100,0.25
120,2.25654,120,0.27
140,2.00373,140,0.28
160,2.00796,160,0.32
180,2.00103,180,0.27
200,1.9574,200,0.31
220,1.72613,220,0.44
240,1.8328,240,0.41
260,1.80878,260,0.37
280,1.84629,280,0.42
300,1.62162,300,0.47
320,1.65331,320,0.47
340,1.80139,340,0.41
360,1.59497,360,0.53
380,1.59984,380,0.53
400,1.79327,400,0.43
420,1.67014,420,0.47
440,1.68638,440,0.42
460,1.62369,460,0.44
480,1.65219,480,0.46
500,1.60083,500,0.51
520,1.57937,520,0.46
540,1.69897,540,0.52
560,1.57014,560,0.53
580,1.3406,580,0.66
600,1.40298,600,0.58
620,1.45855,620,0.54
640,1.44249,640,0.58
660,1.46703,660,0.54
680,1.46729,680,0.53
700,1.36836,700,0.56
720,1.50063,720,0.55
740,1.2009,740,0.7
760,1.6853,760,0.61
780,1.73169,780,0.43
800,1.51819,800,0.58
820,1.68157,820,0.53
840,1.33853,840,0.66
860,1.37693,860,0.6
880,1.42843,880,0.56
900,1.41731,900,0.57
920,1.36295,920,0.64
940,1.33807,940,0.6
960,1.60199,960,0.59
980,1.37679,980,0.62
1000,1.27414,1000,0.62
1020,1.30798,1020,0.61
1040,1.41055,1040,0.61
1060,1.28583,1060,0.66
1080,1.32015,1080,0.66
1100,1.43298,1100,0.67
1120,1.16851,1120,0.71
1140,1.3163,1140,0.63
1160,1.50178,1160,0.57
1180,1.21621,1180,0.69
1200,1.3312,1200,0.59
1220,1.46264,1220,0.62
1240,1.28381,1240,0.59
1260,1.39942,1260,0.65
1280,1.25369,1280,0.57
1300,1.15113,1300,0.57
1320,1.25841,1320,0.68
1340,1.3472,1340,0.63
1360,1.41687,1360,0.59
1380,1.23759,1380,0.67
1400,1.2608,1400,0.67
1420,1.28154,1420,0.65
1440,1.18426,1440,0.64
1460,1.07197,1460,0.8
1480,1.15525,1480,0.71
1500,1.31162,1500,0.69
1520,1.1325,1520,0.73
1540,1.05997,1540,0.74
1560,1.27172,1560,0.69
1580,1.16086,1580,0.69
1600,0.995418,1600,0.77
1620,1.2471,1620,0.71
1640,1.38997,1640,0.69
1660,1.14296,1660,0.72
1680,1.22706,1680,0.67
1700,1.1262,1700,0.72
1720,1.16997,1720,0.66
1740,1.14468,1740,0.71
1760,1.14359,1760,0.72
1780,1.27884,1780,0.66
1800,1.00019,1800,0.72
1820,1.23574,1820,0.7
1840,1.33624,1840,0.66
1860,1.16416,1860,0.75
1880,1.09785,1880,0.68
1900,1.30169,1900,0.67
1920,1.08152,1920,0.74
1940,1.09351,1940,0.77
1960,1.15851,1960,0.75
1980,1.25161,1980,0.69
2000,0.936379,2000,0.8
2020,1.18856,2020,0.67
2040,1.03714,2040,0.75
2060,1.18385,2060,0.74
2080,1.08256,2080,0.7
2100,1.02059,2100,0.77
2120,1.04828,2120,0.73
2140,1.13001,2140,0.72
2160,1.09097,2160,0.7
2180,1.03527,2180,0.71
2200,1.23128,2200,0.7
2220,1.00231,2220,0.76
2240,0.90925,2240,0.78
2260,0.924255,2260,0.8
2280,1.08967,2280,0.75
2300,0.861855,2300,0.86
2320,0.985946,2320,0.77
2340,1.27047,2340,0.71
2360,1.24999,2360,0.7
2380,1.1853,2380,0.68
2400,1.06373,2400,0.75
2420,1.12025,2420,0.79
2440,1.111,2440,0.7
2460,1.08054,2460,0.75
2480,1.03271,2480,0.75
2500,1.01164,2500,0.79
2520,1.03473,2520,0.78
2540,1.08283,2540,0.71
2560,1.00742,2560,0.86
2580,0.93319,2580,0.83
2600,1.25743,2600,0.71
2620,1.01507,2620,0.75
2640,1.35422,2640,0.7
2660,1.10136,2660,0.77
2680,0.977397,2680,0.83
2700,1.08695,2700,0.75
2720,0.895101,2720,0.82
2740,0.891585,2740,0.83
2760,0.993365,2760,0.76
2780,0.973151,2780,0.79
2800,1.03117,2800,0.77
2820,1.16569,2820,0.72
2840,0.921035,2840,0.78
2860,1.2535,2860,0.68
2880,1.13788,2880,0.73
2900,1.05954,2900,0.71
2920,1.02878,2920,0.75
2940,1.18095,2940,0.75
2960,1.03064,2960,0.82
2980,1.0844,2980,0.68
3000,1.35126,3000,0.68
Accuracy on Test Example:,0.6785
