learning_rate,0.001,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.29824,20,0.14
40,2.29917,40,0.19
60,2.30093,60,0.15
80,2.30124,80,0.08
100,2.27733,100,0.26
120,2.10341,120,0.22
140,2.06103,140,0.15
160,2.01269,160,0.35
180,1.75566,180,0.39
200,1.86906,200,0.32
220,1.93785,220,0.38
240,1.78075,240,0.38
260,1.95054,260,0.31
280,1.78401,280,0.34
300,1.71365,300,0.49
320,1.7999,320,0.41
340,1.61543,340,0.49
360,1.72584,360,0.43
380,1.71174,380,0.42
400,1.51298,400,0.52
420,1.66295,420,0.39
440,1.67359,440,0.49
460,1.50794,460,0.46
480,1.46804,480,0.58
500,1.65621,500,0.39
520,1.62363,520,0.51
540,1.74895,540,0.43
560,1.52207,560,0.57
580,1.69588,580,0.47
600,1.35361,600,0.61
620,1.51569,620,0.51
640,1.4259,640,0.57
660,1.5407,660,0.53
680,1.40098,680,0.58
700,1.37889,700,0.56
720,1.55638,720,0.59
740,1.52083,740,0.52
760,1.33839,760,0.61
780,1.23845,780,0.6
800,1.44372,800,0.63
820,1.43493,820,0.6
840,1.58486,840,0.57
860,1.19671,860,0.55
880,1.4414,880,0.63
900,1.38953,900,0.6
920,1.18954,920,0.62
940,1.21258,940,0.72
960,1.29851,960,0.61
980,1.27151,980,0.62
1000,1.36005,1000,0.55
1020,1.35834,1020,0.66
1040,1.12497,1040,0.74
1060,1.1896,1060,0.66
1080,1.43289,1080,0.6
1100,1.36404,1100,0.67
1120,1.39587,1120,0.54
1140,1.34634,1140,0.67
1160,1.31947,1160,0.57
1180,1.26362,1180,0.69
1200,1.21811,1200,0.71
1220,1.41003,1220,0.6
1240,1.43994,1240,0.65
1260,1.30127,1260,0.69
1280,1.47074,1280,0.62
1300,1.33363,1300,0.63
1320,1.27202,1320,0.68
1340,1.40056,1340,0.58
1360,1.17889,1360,0.66
1380,1.18851,1380,0.7
1400,1.23985,1400,0.65
1420,1.46866,1420,0.64
1440,1.30678,1440,0.67
1460,1.19091,1460,0.7
1480,1.39522,1480,0.61
1500,1.00902,1500,0.76
1520,1.15311,1520,0.68
1540,1.11739,1540,0.71
1560,1.2771,1560,0.66
1580,1.08847,1580,0.79
1600,1.12032,1600,0.73
1620,1.08379,1620,0.76
1640,1.12655,1640,0.71
1660,1.1601,1660,0.64
1680,1.20649,1680,0.67
1700,1.10427,1700,0.68
1720,1.24702,1720,0.67
1740,1.08338,1740,0.75
1760,1.23345,1760,0.63
1780,1.25385,1780,0.66
1800,1.3169,1800,0.64
1820,1.06918,1820,0.73
1840,1.26717,1840,0.7
1860,1.18062,1860,0.72
1880,1.22497,1880,0.76
1900,1.34058,1900,0.61
1920,0.971488,1920,0.78
1940,1.23005,1940,0.69
1960,1.37576,1960,0.69
1980,1.32179,1980,0.66
2000,1.01242,2000,0.79
2020,1.24573,2020,0.67
2040,1.14384,2040,0.74
2060,0.967355,2060,0.78
2080,0.943322,2080,0.8
2100,1.23986,2100,0.68
2120,1.21527,2120,0.73
2140,1.02589,2140,0.72
2160,1.15443,2160,0.73
2180,1.05745,2180,0.75
2200,0.960635,2200,0.82
2220,1.12285,2220,0.72
2240,1.11487,2240,0.74
2260,1.20628,2260,0.67
2280,0.828137,2280,0.78
2300,1.11939,2300,0.75
2320,1.13363,2320,0.74
2340,1.24562,2340,0.74
2360,1.20609,2360,0.62
2380,0.995057,2380,0.74
2400,1.33968,2400,0.67
2420,1.17325,2420,0.69
2440,0.967844,2440,0.79
2460,0.923168,2460,0.73
2480,1.1293,2480,0.72
2500,1.08503,2500,0.73
2520,1.21176,2520,0.74
2540,0.960182,2540,0.74
2560,0.827978,2560,0.84
2580,1.16296,2580,0.66
2600,1.01649,2600,0.76
2620,1.09122,2620,0.76
2640,1.01447,2640,0.82
2660,0.951633,2660,0.78
2680,1.09315,2680,0.69
2700,1.02154,2700,0.79
2720,0.907947,2720,0.76
2740,1.14475,2740,0.71
2760,0.909038,2760,0.82
2780,1.243,2780,0.66
2800,1.05725,2800,0.73
2820,1.19643,2820,0.68
2840,0.90115,2840,0.84
2860,0.933818,2860,0.83
2880,0.90799,2880,0.81
2900,1.30327,2900,0.67
2920,1.07016,2920,0.8
2940,0.994561,2940,0.78
2960,1.09993,2960,0.78
2980,1.15205,2980,0.76
3000,0.901502,3000,0.79
Accuracy on Test Example:,0.6839
