learning_rate,0.001,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.29909,20,0.07
40,2.29538,40,0.14
60,2.311,60,0.15
80,2.28702,80,0.13
100,2.29624,100,0.13
120,2.28874,120,0.2
140,2.30362,140,0.13
160,2.20907,160,0.19
180,2.12466,180,0.22
200,2.13853,200,0.2
220,2.01506,220,0.32
240,1.9709,240,0.32
260,1.91253,260,0.39
280,2.00047,280,0.28
300,1.86031,300,0.41
320,2.13934,320,0.36
340,1.82597,340,0.36
360,1.86528,360,0.36
380,2.05982,380,0.38
400,1.86739,400,0.36
420,1.91609,420,0.33
440,1.87757,440,0.38
460,1.85528,460,0.38
480,1.64125,480,0.46
500,1.77477,500,0.43
520,1.65874,520,0.43
540,1.60949,540,0.47
560,1.68904,560,0.47
580,1.80685,580,0.39
600,1.77133,600,0.42
620,1.94681,620,0.44
640,1.61535,640,0.5
660,1.62605,660,0.48
680,1.5571,680,0.51
700,1.59081,700,0.55
720,1.55138,720,0.5
740,1.61115,740,0.46
760,1.51892,760,0.48
780,1.78035,780,0.44
800,1.56047,800,0.53
820,1.60012,820,0.53
840,1.62414,840,0.44
860,1.59438,860,0.45
880,1.58999,880,0.53
900,1.69945,900,0.45
920,1.52347,920,0.57
940,1.60822,940,0.51
960,1.74879,960,0.42
980,1.41542,980,0.58
1000,1.55442,1000,0.51
1020,1.49108,1020,0.53
1040,1.53664,1040,0.56
1060,1.51722,1060,0.56
1080,1.44714,1080,0.6
1100,1.52149,1100,0.53
1120,1.65922,1120,0.5
1140,1.68227,1140,0.51
1160,1.61834,1160,0.6
1180,1.36179,1180,0.59
1200,1.14171,1200,0.71
1220,1.33141,1220,0.59
1240,1.39235,1240,0.62
1260,1.56724,1260,0.52
1280,1.34283,1280,0.62
1300,1.49292,1300,0.62
1320,1.57649,1320,0.51
1340,1.56946,1340,0.62
1360,1.27108,1360,0.67
1380,1.55305,1380,0.53
1400,1.23374,1400,0.71
1420,1.34861,1420,0.54
1440,1.58381,1440,0.56
1460,1.25408,1460,0.64
1480,1.60618,1480,0.56
1500,1.49667,1500,0.52
1520,1.53232,1520,0.57
1540,1.45676,1540,0.59
1560,1.5739,1560,0.46
1580,1.36388,1580,0.6
1600,1.33263,1600,0.66
1620,1.57617,1620,0.52
1640,1.4202,1640,0.59
1660,1.32378,1660,0.57
1680,1.49021,1680,0.6
1700,1.36263,1700,0.58
1720,1.45265,1720,0.61
1740,1.2984,1740,0.59
1760,1.40809,1760,0.58
1780,1.40317,1780,0.61
1800,1.65531,1800,0.53
1820,1.25205,1820,0.68
1840,1.33748,1840,0.63
1860,1.55674,1860,0.58
1880,1.26187,1880,0.69
1900,1.38843,1900,0.66
1920,1.22565,1920,0.77
1940,1.21172,1940,0.74
1960,1.3512,1960,0.58
1980,1.57132,1980,0.58
2000,1.40517,2000,0.6
2020,1.163,2020,0.68
2040,1.43358,2040,0.58
2060,1.46202,2060,0.57
2080,1.28684,2080,0.61
2100,1.39072,2100,0.65
2120,1.11839,2120,0.75
2140,1.05634,2140,0.68
2160,1.02152,2160,0.75
2180,1.23839,2180,0.64
2200,1.23413,2200,0.67
2220,1.40289,2220,0.59
2240,1.23967,2240,0.63
2260,1.46703,2260,0.6
2280,1.44521,2280,0.6
2300,1.35977,2300,0.64
2320,1.38776,2320,0.7
2340,1.17736,2340,0.72
2360,1.19995,2360,0.73
2380,1.19098,2380,0.69
2400,1.11146,2400,0.73
2420,1.25615,2420,0.68
2440,1.41357,2440,0.61
2460,1.25833,2460,0.64
2480,1.26447,2480,0.66
2500,1.05647,2500,0.75
2520,1.27652,2520,0.72
2540,1.3585,2540,0.66
2560,1.27923,2560,0.66
2580,1.13006,2580,0.7
2600,1.22009,2600,0.69
2620,1.09103,2620,0.71
2640,1.29879,2640,0.67
2660,1.22899,2660,0.66
2680,1.24892,2680,0.71
2700,1.14028,2700,0.76
2720,0.97025,2720,0.76
2740,1.30547,2740,0.66
2760,1.0804,2760,0.76
2780,1.14841,2780,0.76
2800,0.924465,2800,0.8
2820,1.15977,2820,0.63
2840,1.02236,2840,0.78
2860,1.30413,2860,0.63
2880,1.21579,2880,0.64
2900,1.12989,2900,0.75
2920,1.15816,2920,0.75
2940,1.17422,2940,0.72
2960,1.29973,2960,0.68
2980,1.26496,2980,0.66
3000,1.10677,3000,0.7
Accuracy on Test Example:,0.635
