learning_rate,0.001,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.30616,20,0.05
40,2.30339,40,0.09
60,2.30074,60,0.12
80,2.29367,80,0.15
100,2.2039,100,0.21
120,2.21811,120,0.17
140,2.00981,140,0.27
160,2.0192,160,0.37
180,1.9724,180,0.37
200,1.80701,200,0.47
220,1.7394,220,0.44
240,1.68928,240,0.57
260,1.70842,260,0.5
280,1.69407,280,0.44
300,1.57546,300,0.51
320,1.7404,320,0.56
340,1.67356,340,0.47
360,1.58366,360,0.49
380,1.8097,380,0.45
400,1.6841,400,0.56
420,1.61124,420,0.52
440,1.44483,440,0.61
460,1.50271,460,0.54
480,1.42439,480,0.56
500,1.43329,500,0.55
520,1.58508,520,0.47
540,1.60337,540,0.57
560,1.47234,560,0.56
580,1.52567,580,0.57
600,1.34429,600,0.63
620,1.35237,620,0.61
640,1.37429,640,0.67
660,1.70106,660,0.49
680,1.42099,680,0.59
700,1.38924,700,0.58
720,1.36588,720,0.6
740,1.47029,740,0.49
760,1.22458,760,0.69
780,1.54924,780,0.59
800,1.46359,800,0.63
820,1.46963,820,0.58
840,1.33361,840,0.62
860,1.49148,860,0.57
880,1.5279,880,0.65
900,1.57894,900,0.61
920,1.41062,920,0.62
940,1.31464,940,0.67
960,1.317,960,0.67
980,1.37112,980,0.64
1000,1.24013,1000,0.69
1020,1.4113,1020,0.62
1040,1.35975,1040,0.66
1060,1.58035,1060,0.55
1080,1.41504,1080,0.63
1100,1.02533,1100,0.83
1120,1.66817,1120,0.59
1140,1.37807,1140,0.66
1160,1.30854,1160,0.72
1180,1.12794,1180,0.7
1200,1.26797,1200,0.64
1220,1.33547,1220,0.65
1240,1.12793,1240,0.71
1260,1.17826,1260,0.69
1280,1.25774,1280,0.64
1300,1.29876,1300,0.69
1320,1.30935,1320,0.68
1340,1.39477,1340,0.62
1360,1.22738,1360,0.67
1380,1.23064,1380,0.74
1400,1.29081,1400,0.7
1420,1.24723,1420,0.7
1440,1.26198,1440,0.69
1460,1.17376,1460,0.7
1480,1.42005,1480,0.62
1500,1.14588,1500,0.71
1520,1.09972,1520,0.73
1540,1.11903,1540,0.71
1560,1.20485,1560,0.7
1580,1.23463,1580,0.65
1600,1.22554,1600,0.71
1620,1.30124,1620,0.67
1640,1.22533,1640,0.7
1660,1.25393,1660,0.71
1680,1.3603,1680,0.65
1700,1.22289,1700,0.7
1720,1.18581,1720,0.65
1740,1.15288,1740,0.72
1760,1.23672,1760,0.79
1780,1.29213,1780,0.75
1800,1.16483,1800,0.71
1820,1.17981,1820,0.77
1840,1.34851,1840,0.73
1860,1.06129,1860,0.78
1880,1.31574,1880,0.64
1900,1.14173,1900,0.74
1920,1.29588,1920,0.73
1940,1.13985,1940,0.74
1960,1.04953,1960,0.76
1980,1.13532,1980,0.79
2000,1.08767,2000,0.73
2020,1.17727,2020,0.67
2040,1.05341,2040,0.81
2060,1.06288,2060,0.76
2080,0.988554,2080,0.8
2100,1.16904,2100,0.73
2120,1.01675,2120,0.73
2140,1.20717,2140,0.72
2160,1.09988,2160,0.71
2180,1.33644,2180,0.67
2200,1.18031,2200,0.72
2220,1.05293,2220,0.74
2240,1.06643,2240,0.75
2260,1.13822,2260,0.73
2280,1.0087,2280,0.82
2300,1.33168,2300,0.75
2320,1.05753,2320,0.7
2340,1.09435,2340,0.71
2360,1.14279,2360,0.77
2380,1.21046,2380,0.69
2400,1.07075,2400,0.8
2420,1.11578,2420,0.77
2440,1.21818,2440,0.74
2460,1.08374,2460,0.73
2480,1.15215,2480,0.77
2500,1.03061,2500,0.77
2520,1.10068,2520,0.78
2540,0.989299,2540,0.79
2560,1.11411,2560,0.78
2580,1.21398,2580,0.74
2600,1.03393,2600,0.77
2620,1.1283,2620,0.77
2640,1.20081,2640,0.79
2660,1.03443,2660,0.78
2680,1.06498,2680,0.79
2700,1.16681,2700,0.78
2720,1.21503,2720,0.7
2740,1.10414,2740,0.78
2760,1.11569,2760,0.74
2780,1.03063,2780,0.83
2800,1.08924,2800,0.8
2820,1.0919,2820,0.8
2840,0.895901,2840,0.82
2860,0.925337,2860,0.84
2880,0.921671,2880,0.83
2900,1.10826,2900,0.76
2920,1.00888,2920,0.82
2940,1.15097,2940,0.75
2960,1.20032,2960,0.76
2980,1.23918,2980,0.69
3000,1.16117,3000,0.75
Accuracy on Test Example:,0.6542
