learning_rate,0.01,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.30951,20,0.12
40,2.2786,40,0.16
60,2.24857,60,0.17
80,2.11935,80,0.2
100,1.95633,100,0.31
120,2.00758,120,0.28
140,1.79614,140,0.34
160,1.92551,160,0.31
180,1.81714,180,0.34
200,1.84194,200,0.25
220,1.86752,220,0.36
240,1.81735,240,0.31
260,1.76234,260,0.35
280,1.77744,280,0.32
300,1.78819,300,0.39
320,1.86738,320,0.34
340,1.76544,340,0.32
360,1.71485,360,0.42
380,1.57989,380,0.44
400,1.61092,400,0.33
420,1.67537,420,0.41
440,1.70232,440,0.41
460,1.53796,460,0.41
480,1.50816,480,0.38
500,1.49367,500,0.44
520,1.60211,520,0.43
540,1.5938,540,0.44
560,1.56637,560,0.41
580,1.64187,580,0.44
600,1.47614,600,0.49
620,1.54024,620,0.52
640,1.73652,640,0.4
660,1.64065,660,0.51
680,1.49574,680,0.39
700,1.43505,700,0.57
720,1.39005,720,0.48
740,1.26294,740,0.53
760,1.28145,760,0.59
780,1.46575,780,0.44
800,1.39982,800,0.49
820,1.42134,820,0.54
840,1.57441,840,0.45
860,1.17833,860,0.6
880,1.40755,880,0.49
900,1.34302,900,0.5
920,1.43818,920,0.48
940,1.27074,940,0.54
960,1.28314,960,0.54
980,1.37004,980,0.53
1000,1.32119,1000,0.58
1020,1.28259,1020,0.55
1040,1.32344,1040,0.5
1060,1.41669,1060,0.57
1080,1.45823,1080,0.52
1100,1.35642,1100,0.54
1120,1.2661,1120,0.57
1140,1.37052,1140,0.52
1160,1.32933,1160,0.53
1180,1.34106,1180,0.58
1200,1.27401,1200,0.6
1220,1.24394,1220,0.54
1240,1.37507,1240,0.5
1260,1.47006,1260,0.52
1280,1.23863,1280,0.53
1300,1.25106,1300,0.6
1320,1.25324,1320,0.56
1340,1.23167,1340,0.58
1360,1.28696,1360,0.57
1380,1.07617,1380,0.6
1400,1.36666,1400,0.55
1420,1.21093,1420,0.6
1440,1.29989,1440,0.51
1460,1.22789,1460,0.57
1480,1.30803,1480,0.52
1500,1.42574,1500,0.5
1520,1.3881,1520,0.56
1540,1.21396,1540,0.63
1560,1.14159,1560,0.62
1580,1.33262,1580,0.6
1600,1.21281,1600,0.56
1620,1.33889,1620,0.56
1640,1.2184,1640,0.6
1660,1.125,1660,0.59
1680,1.11183,1680,0.65
1700,1.13375,1700,0.59
1720,1.17875,1720,0.59
1740,0.942197,1740,0.71
1760,1.30369,1760,0.53
1780,1.24575,1780,0.63
1800,1.05747,1800,0.63
1820,1.46915,1820,0.52
1840,1.32664,1840,0.59
1860,1.4144,1860,0.55
1880,1.02268,1880,0.67
1900,1.14369,1900,0.65
1920,1.18056,1920,0.61
1940,1.22089,1940,0.58
1960,1.24224,1960,0.54
1980,1.20786,1980,0.58
2000,1.17389,2000,0.62
2020,1.06197,2020,0.63
2040,1.07962,2040,0.62
2060,1.04025,2060,0.69
2080,1.14153,2080,0.59
2100,0.954711,2100,0.71
2120,0.896587,2120,0.71
2140,1.25393,2140,0.61
2160,1.11147,2160,0.64
2180,1.26023,2180,0.63
2200,1.09794,2200,0.59
2220,1.13322,2220,0.58
2240,1.14186,2240,0.63
2260,1.06715,2260,0.61
2280,1.00987,2280,0.67
2300,1.10372,2300,0.62
2320,0.969463,2320,0.66
2340,1.09201,2340,0.62
2360,0.967162,2360,0.7
2380,1.06408,2380,0.65
2400,1.08497,2400,0.62
2420,1.19882,2420,0.63
2440,1.12696,2440,0.55
2460,1.09448,2460,0.61
2480,1.03166,2480,0.63
2500,1.13349,2500,0.65
2520,1.12597,2520,0.68
2540,1.1232,2540,0.62
2560,0.985024,2560,0.68
2580,1.18471,2580,0.63
2600,0.951631,2600,0.75
2620,0.953538,2620,0.67
2640,0.948548,2640,0.68
2660,1.10587,2660,0.67
2680,1.0296,2680,0.67
2700,1.05295,2700,0.69
2720,0.98682,2720,0.64
2740,1.15628,2740,0.66
2760,1.05327,2760,0.61
2780,1.10034,2780,0.6
2800,0.843135,2800,0.73
2820,0.892615,2820,0.73
2840,1.01859,2840,0.66
2860,0.987567,2860,0.69
2880,0.997421,2880,0.69
2900,1.02309,2900,0.63
2920,1.06417,2920,0.7
2940,1.11731,2940,0.61
2960,1.04995,2960,0.68
2980,0.846168,2980,0.71
3000,1.16881,3000,0.63
Accuracy on Test Example:,0.6821
