learning_rate,0.001,training_epochs,6,batch_size,100,display_step,20,conv1_kernels_num,32,conv2_kernels_num,32,fc1_units_num,192,fc2_units_num,98
training_step,train_loss,train_step,train_accuracy
20,2.30347,20,0.05
40,2.30366,40,0.1
60,2.30226,60,0.17
80,2.29795,80,0.14
100,2.30049,100,0.1
120,2.30094,120,0.13
140,2.3049,140,0.11
160,2.30068,160,0.1
180,2.29746,180,0.18
200,2.29538,200,0.21
220,2.29882,220,0.08
240,2.29931,240,0.13
260,2.29223,260,0.15
280,2.29477,280,0.13
300,2.29397,300,0.18
320,2.29843,320,0.1
340,2.29106,340,0.16
360,2.28486,360,0.19
380,2.28452,380,0.17
400,2.28791,400,0.21
420,2.27894,420,0.19
440,2.28299,440,0.13
460,2.25454,460,0.21
480,2.25355,480,0.18
500,2.24393,500,0.23
520,2.22155,520,0.26
540,2.22606,540,0.19
560,2.20595,560,0.17
580,2.16315,580,0.17
600,2.17212,600,0.11
620,2.06021,620,0.23
640,2.09805,640,0.25
660,2.01658,660,0.26
680,2.18657,680,0.16
700,1.96673,700,0.24
720,2.11044,720,0.23
740,2.03428,740,0.18
760,2.01283,760,0.24
780,2.08242,780,0.21
800,1.99435,800,0.19
820,2.06871,820,0.26
840,2.06784,840,0.26
860,1.93801,860,0.3
880,1.97272,880,0.18
900,1.95116,900,0.27
920,1.97884,920,0.25
940,1.96995,940,0.24
960,1.98113,960,0.24
980,1.9038,980,0.29
1000,1.87469,1000,0.3
1020,1.83325,1020,0.32
1040,1.95726,1040,0.2
1060,1.9092,1060,0.25
1080,1.89312,1080,0.28
1100,1.71648,1100,0.38
1120,1.83988,1120,0.27
1140,1.99325,1140,0.26
1160,1.94941,1160,0.29
1180,1.87327,1180,0.23
1200,1.8765,1200,0.28
1220,1.93661,1220,0.4
1240,1.79244,1240,0.34
1260,1.89579,1260,0.38
1280,1.83088,1280,0.35
1300,1.79718,1300,0.36
1320,1.81072,1320,0.31
1340,1.83549,1340,0.44
1360,1.77372,1360,0.35
1380,1.71687,1380,0.34
1400,1.69795,1400,0.34
1420,1.78131,1420,0.37
1440,1.64197,1440,0.35
1460,1.82102,1460,0.38
1480,1.72212,1480,0.37
1500,1.82413,1500,0.34
1520,1.91604,1520,0.31
1540,1.73207,1540,0.37
1560,1.86349,1560,0.3
1580,1.76773,1580,0.32
1600,1.69705,1600,0.37
1620,1.72757,1620,0.38
1640,1.62408,1640,0.35
1660,1.8183,1660,0.38
1680,1.84272,1680,0.37
1700,1.68183,1700,0.35
1720,1.68462,1720,0.32
1740,1.68503,1740,0.42
1760,1.65484,1760,0.36
1780,1.7075,1780,0.37
1800,1.50539,1800,0.39
1820,1.6768,1820,0.41
1840,1.68652,1840,0.36
1860,1.7403,1860,0.4
1880,1.56442,1880,0.39
1900,1.85773,1900,0.32
1920,1.68154,1920,0.36
1940,1.64739,1940,0.36
1960,1.7666,1960,0.32
1980,1.84894,1980,0.36
2000,1.61563,2000,0.37
2020,1.75952,2020,0.32
2040,1.73081,2040,0.33
2060,1.59096,2060,0.45
2080,1.6866,2080,0.34
2100,1.64767,2100,0.39
2120,1.65729,2120,0.41
2140,1.60284,2140,0.41
2160,1.66295,2160,0.38
2180,1.83238,2180,0.3
2200,1.62919,2200,0.4
2220,1.62971,2220,0.42
2240,1.67634,2240,0.39
2260,1.61184,2260,0.42
2280,1.61924,2280,0.4
2300,1.54976,2300,0.44
2320,1.84192,2320,0.33
2340,1.67446,2340,0.42
2360,1.72891,2360,0.35
2380,1.69126,2380,0.42
2400,1.72571,2400,0.38
2420,1.52425,2420,0.43
2440,1.51365,2440,0.41
2460,1.52963,2460,0.44
2480,1.44079,2480,0.47
2500,1.68873,2500,0.34
2520,1.57479,2520,0.41
2540,1.51798,2540,0.49
2560,1.51959,2560,0.5
2580,1.6723,2580,0.41
2600,1.58829,2600,0.33
2620,1.43418,2620,0.58
2640,1.65433,2640,0.43
2660,1.607,2660,0.43
2680,1.472,2680,0.45
2700,1.50474,2700,0.48
2720,1.46014,2720,0.48
2740,1.60677,2740,0.51
2760,1.51647,2760,0.46
2780,1.5752,2780,0.44
2800,1.57231,2800,0.38
2820,1.68056,2820,0.36
2840,1.5454,2840,0.4
2860,1.50255,2860,0.51
2880,1.45669,2880,0.48
2900,1.41527,2900,0.45
2920,1.48445,2920,0.46
2940,1.46983,2940,0.47
2960,1.5416,2960,0.42
2980,1.60126,2980,0.42
3000,1.55391,3000,0.39
Accuracy on Test Example:,0.4746
